title,author,journal,year,source,status,reason
Crowd-based Feature Selection for Document Retrieval in Highly Demanding Decision-making Scenarios,Julliano Trindade Pintas and Luís Correia and Ana Cristina Bicharra Garcia,Procedia Computer Science,2017,Science@Direct,Rejected,Study that does not address gamification
Gamification and its possibilities in the blended learning environment: literature review,"Torres-Toukoumidis, Angel and Romero Rodriguez, Luis Miguel and PerezRodriguez, Amor",RIED-REVISTA IBEROAMERICANA DE EDUCACION A DISTANCIA,2018,ISI Web of Science,Rejected,Not English-written papers
Educational Resources for Global Health in Otolaryngology,Melyssa Hancock and Michael Hoa and Sonya Malekzadeh,Otolaryngologic Clinics of North America,2018,Science@Direct,Rejected,Study that does not address gamification
Gamification in MOOCs: A review of the state of the art,"Khalil, Mohammad and Wong, Jacqueline and De Koning, Bjorn and Ebner, Martin and Paas, Fred","IEEE Global Engineering Education Conference, EDUCON",2018,El Compendex,Accepted,
Chapter 3 - Users in the urban sensing process: Challenges and research opportunities,T.H. Silva and C.S.F.S. Celes and J.B.B. Neto and V.F.S. Mota and F.D. da Cunha and A.P.G. Ferreira and A.I.J.T. Ribeiro and P.O.S. Vaz de Melo and J.M. Almeida and A.A.F. Loureiro,,2016,Science@Direct,Rejected,Study that does not address gamification
"Selective psychological effects of nudging, gamification and rational information in converting commuters from cars to buses: A controlled field experiment",,Transportation Research Part F: Traffic Psychology and Behaviour,2018,Science@Direct,Rejected,Not a secondary study
6 - Speed,Stefan Gössling,,2017,Science@Direct,Rejected,Study that does not address gamification
A Systematic Mapping of Game-Based Methods to Tackle a Public Health Problem,"Lima, Tiago Franca Melo and Davis, Clodoveu Augusto",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2018,El Compendex,Accepted,
Calibrating trust through knowledge: Introducing the concept of informed safety for automation in vehicles,Siddartha Khastgir and Stewart Birrell and Gunwant Dhadyalla and Paul Jennings,Transportation Research Part C: Emerging Technologies,2018,Science@Direct,Rejected,Study that does not address gamification
Analysis of Gamification Models in Education Using MDA Framework,"Kusuma, Gede Putra and Wigati, Evan Kristia and Utomo, Yesun and Putera Suryapranata, Louis Khrisna",Procedia Computer Science,2018,El Compendex,Rejected,Not a secondary study
Feasibility of mobile mental wellness training for older adults,Heidi Similä and Milla Immonen and Jaana Toska-Tervola and Heidi Enwald and Niina Keränen and Maarit Kangas and Timo Jämsä and Raija Korpelainen,Geriatric Nursing,2018,Science@Direct,Rejected,Study that does not address gamification
How gamification is being implemented in MOOCs? A systematic literature review,"Ortega-Arranz, A. and Muñoz-Cristóbal, J.A. and Martínez-Monés, A. and Bote-Lorenzo, M.L. and Asensio-Pérez, J.I.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2017,Scopus,Accepted,
Human factor in intelligent manufacturing systems - knowledge acquisition and motivation,Dorota Stadnicka and Pawel Litwin and Dario Antonelli,Procedia CIRP,2019,Science@Direct,Rejected,Study that does not address gamification
A systematic investigation into the use of game elements in the context of software business landscapes: A systematic literature review,"Olgun, S. and Yilmaz, M. and Clarke, P.M. and O’Connor, R.V.",Communications in Computer and Information Science,2017,Scopus,Accepted,
Using the elaboration likelihood model to examine online persuasion through website design,Dianne Cyr and Milena Head and Eric Lim and Agnis Stibe,Information & Management,2018,Science@Direct,Rejected,Study that does not address gamification
Socio-technical systems and interaction design – 21st century relevance,Martin Maguire,Applied Ergonomics,2014,Science@Direct,Rejected,Study that does not address gamification
"Don't Just “Like” Me, Promote Me: How Attachment and Attitude Influence Brand Related Behaviors on Social Media",Rebecca VanMeter and Holly A. Syrdal and Susan Powell-Mantel and Douglas B. Grisaffe and Erik T. Nesson,Journal of Interactive Marketing,2018,Science@Direct,Rejected,Study that does not address gamification
Students’ and instructors’ use of massive open online courses (MOOCs): Motivations and challenges,Khe Foon Hew and Wing Sum Cheung,Educational Research Review,2014,Science@Direct,Rejected,Study that does not address gamification
Advanced technologies and systems for collaboration and computer supported cooperative work,Konstantinos Papangelis and Domenico Potena and Waleed W. Smari and Emanuele Storti and Keqin Wu,Future Generation Computer Systems,2019,Science@Direct,Rejected,Study that does not address gamification
Collaborative approaches to public sector innovation: A scoping study,Katarzyna Szkuta and Roberto Pizzicannella and David Osimo,Telecommunications Policy,2014,Science@Direct,Rejected,Study that does not address gamification
The influence of the propensity to trust on mobile users' attitudes toward in-app advertisements: An extension of the theory of planned behavior,Millissa F.Y. Cheung and W.M. To,Computers in Human Behavior,2017,Science@Direct,Rejected,Study that does not address gamification
Emerging educational technologies: Tensions and synergy,J. Michael Spector,Journal of King Saud University - Computer and Information Sciences,2014,Science@Direct,Rejected,Study that does not address gamification
Audiomotor Perceptual Training Enhances Speech Intelligibility in Background Noise,Jonathon P. Whitton and Kenneth E. Hancock and Jeffrey M. Shannon and Daniel B. Polley,Current Biology,2017,Science@Direct,Rejected,Study that does not address gamification
Online social networks for health behaviour change: Designing to increase socialization,Noreen Kamal and Sidney Fels and Michael Fergusson,Computers in Human Behavior,2014,Science@Direct,Rejected,Study that does not address gamification
Understanding individual-level digital divide: Evidence of an African country,Gloria Goncalves and Tiago Oliveira and Frederico Cruz-Jesus,Computers in Human Behavior,2018,Science@Direct,Rejected,Study that does not address gamification
RELIVE Tracking for quality cardiopulmonary resuscitation training: An experimental comparison with a standard CPR training mannequin,,Resuscitation,2015,Science@Direct,Rejected,Study that does not address gamification
Influence of work design elements on work performance and work perception – an experimental investigation,Hendrik Stern and Till Becker,Procedia CIRP,2018,Science@Direct,Rejected,Study that does not address gamification
Leveling up: Are non-gamers and women disadvantaged in a virtual world classroom?,Clyde A. Warden and James O. Stanworth and Chi-Cheng Chang,Computers in Human Behavior,2016,Science@Direct,Rejected,Study that does not address gamification
Index,,,2018,Science@Direct,Rejected,Study that does not address gamification
"How do people negotiate through their constraints to engage in pro-environmental behavior? A study of front-country campers in Alberta, Canada",Farhad Moghimehfar and Elizabeth A. Halpenny,Tourism Management,2016,Science@Direct,Rejected,Study that does not address gamification
Evaluation of a Mobile Voiding Diary for Pediatric Patients with Voiding Dysfunction: A Prospective Comparative Study,Emilie K. Johnson and Carlos R. Estrada and Kathryn L. Johnson and Hiep T. Nguyen and Ilina Rosoklija and Caleb P. Nelson,The Journal of Urology,2014,Science@Direct,Rejected,Study that does not address gamification
Generating brand awareness in Online Social Networks,Albert A. Barreda and Anil Bilgihan and Khaldoon Nusair and Fevzi Okumus,Computers in Human Behavior,2015,Science@Direct,Rejected,Study that does not address gamification
Chapter 1 - A New Universe of Data,Krish Krishnan and Shawn P. Rogers,,2015,Science@Direct,Rejected,Study that does not address gamification
Learning from the Cincinnati 2014 ACHD Course,,Progress in Pediatric Cardiology,2014,Science@Direct,Rejected,Study that does not address gamification
Differences between blind people's cognitive maps after proximity and distant exploration of virtual environments,Antonio Cobo and Nancy E. Guerrón and Carlos Martín and Francisco del Pozo and José Javier Serrano,Computers in Human Behavior,2017,Science@Direct,Rejected,Study that does not address gamification
Optimization of Individual Travel Behavior through Customized Mobility Services and their Effects on Travel Demand and Transportation Systems,Tim Hilgert and Martin Kagerbauer and Thomas Schuster and Christoph Becker,Transportation Research Procedia,2016,Science@Direct,Rejected,Study that does not address gamification
Leveraging collective intelligence: How to design and manage crowd-based business models,Karl Täuscher,Business Horizons,2017,Science@Direct,Rejected,Study that does not address gamification
Understanding how consumer education impacts shoppers over time: A longitudinal field study of unit price usage,Clinton S. Weeks and Gary Mortimer and Lionel Page,Journal of Retailing and Consumer Services,2016,Science@Direct,Rejected,Study that does not address gamification
"An analysis of e-book learning platforms: Affordances, architecture, functionality and analytics",Kathleen Roskos and Jeremy Brueck and Lisa Lenhart,International Journal of Child-Computer Interaction,2017,Science@Direct,Rejected,Study that does not address gamification
Unlocking the Potential of the Patient Portal for Adolescent Health,,Journal of Adolescent Health,2016,Science@Direct,Rejected,Study that does not address gamification
1.04 - Current Themes in Volunteered Geographic Information,Colin J. Ferster and Trisalyn Nelson and Colin Robertson and Rob Feick,,2018,Science@Direct,Rejected,Study that does not address gamification
Mobile technologies and services for environmental monitoring: The Citi-Sense-MOB approach,Nuria Castell and Mike Kobernus and Hai-Ying Liu and Philipp Schneider and William Lahoz and Arne J. Berre and Josef Noll,Urban Climate,2015,Science@Direct,Rejected,Study that does not address gamification
ICT-based Active Methodologies,Vanesa-María Gámiz-Sánchez,Procedia - Social and Behavioral Sciences,2017,Science@Direct,Rejected,Study that does not address gamification
HeartHealth: A Cardiovascular Disease Home-based Rehabilitation System,Anargyros Chatzitofis and David Monaghan and Edmond Mitchell and Freddie Honohan and Dimitrios Zarpalas and Noel E. O’Connor and Petros Daras,Procedia Computer Science,2015,Science@Direct,Rejected,Study that does not address gamification
Multimedia Support for Learning Factories,Reinhard Pittschellis,Procedia CIRP,2015,Science@Direct,Rejected,Study that does not address gamification
Language Learning Beyond the Classroom,,System,2016,Science@Direct,Rejected,Study that does not address gamification
PoWaP: Proof of Work at Proximity for a crowdsensing system for collaborative traffic information gathering,Akihiro Fujihara,Internet of Things,2019,Science@Direct,Rejected,Study that does not address gamification
